
 divine 59 (sgamer) said message of the day:  now, if you are stuck in the store in an unknown area, press enter, and the problem will be fix!

new in 1.99.8
added radio!
each builder on the map can put a link that will be played
also added new hot keys: alt page up, increase the radio volume, alt page down, decrease!

we added a bar where you can only fight with empty bottles of beer and juice! you can find it in the store! enjoy!
you can get a storm sniper, and the legendary sword by finish the dangerous place challenge this is at 5 5 0 in challenge maps, and dont ask game staff to give items, we will not do this!
afk area has been added! you can find in at 15 15 0 in the store!
welcome to the killer! we hope you like the game, and we advise you to invite your friends! good luck and enjoy!
 link for the game below!
http://darkserver.ru/tk2/tk.zip 1-25-2021, 9:38:39 AM
 divine 59 (sgamer) said some 1 give mi ayer canisters  1-25-2021, 9:45:00 AM
 divine 59 (sgamer) said fuk that addmin  1-25-2021, 9:46:00 AM
 divine 59 (sgamer) said hand cannon. costs 700000 coins. description. good hand cannon!. you can buy 31 1-25-2021, 9:49:38 AM
 divine 59 (sgamer) said yarhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhrhaaaa 1-25-2021, 10:31:04 AM
 divine 59 (sgamer) said rofl 39723 coins 1-25-2021, 10:38:53 AM
 divine 59 (sgamer) said aa 1-25-2021, 10:41:50 AM
 divine 59 (sgamer) said aha 19 air canisters 1-25-2021, 10:46:13 AM
 divine 59 (sgamer) said a 1-25-2021, 10:56:48 AM
 divine 59 (sgamer) said wa 1-25-2021, 10:59:35 AM
 divine 59 (sgamer) said a 1-25-2021, 11:11:35 AM
 divine 59 (sgamer) said aaaa 1-25-2021, 11:13:06 AM
 divine 59 (sgamer) said hahaha 1-25-2021, 11:14:25 AM
 divine 59 (sgamer) said i am not not not not not not not noththththththththththththththththththththth 1-25-2021, 11:31:43 AM
 divine 59 (sgamer) said wa wa  1-25-2021, 11:38:35 AM
 divine 59 (sgamer) said a 1-25-2021, 11:39:45 AM
 divine 59 (sgamer) said wa 1-25-2021, 11:41:31 AM
 divine 59 (sgamer) said aha 1-25-2021, 11:41:42 AM
 divine 59 (sgamer) said wa wa  1-25-2021, 11:41:47 AM
